,text,date
47,"Cryptic crossword No 28,168",2020-06-23T23:00:02Z
48,US police reform bills unlikely to pass amid partisan divide despite calls for change,2020-06-23T22:42:44Z
49,Scientists link bowel inflammation to higher risk of dementia,2020-06-23T22:30:02Z
50,'Not a great look': Andy Murray aims volley at Djokovic after win over Broady,2020-06-23T22:22:38Z
51,"Manchester United 'not too far away' from title contention, says Solskjær",2020-06-23T22:13:03Z
52,Coronavirus in the Pacific: weekly briefing,2020-06-23T22:00:01Z
53,'Beggars belief': women's office excluded from talks on $150m scheme to boost females in sport,2020-06-23T22:00:01Z
54,FBI concludes that Bubba Wallace not victim of hate crime over noose incident,2020-06-23T22:00:01Z
55,'I felt alone': Jürgen Klopp looks back at Palace defeat as Liverpool close on title,2020-06-23T21:30:01Z
56,Steven Gerrard frustrated Rangers cannot resume full-contact training,2020-06-23T21:30:00Z
57,"Morning mail: Albanese calls for climate truce, Djokovic tests positive, the end of coins",2020-06-23T21:27:45Z
58,Willian and Pedro agree short-term deals to stay at Chelsea for run-in,2020-06-23T21:27:10Z
59,Tottenham Hotspur 2-0 West Ham United: Premier League – as it happened,2020-06-23T21:26:41Z
60,Tottenham's Harry Kane back on target to deepen West Ham's misery,2020-06-23T21:25:39Z
61,Alan Bennett’s Talking Heads review – still a masterclass in storytelling,2020-06-23T21:10:00Z
62,Trump family tries to block publication of book by president's niece – report,2020-06-23T21:08:46Z
63,Rees-Mogg loses vote to let MPs debate bullying claims,2020-06-23T20:58:08Z
64,Specieswatch: native rushes taking UK uplands by storm,2020-06-23T20:30:02Z
65,Mel Gibson denies Winona Ryder's allegation of bigoted comments,2020-06-23T20:29:55Z
66,Reading attack: suspect ruled out as possible terrorist twice in two years,2020-06-23T20:07:35Z
67,"From police beat to Stuff owner: meet Sinead Boucher,  New Zealand's newest media mogul",2020-06-23T20:00:01Z
68,Corrections and clarifications,2020-06-23T20:00:01Z
69,Ex-Wirecard CEO arrested on suspicion of falsifying accounts,2020-06-23T19:55:29Z
70,Burnley to show support for Black Lives Matter in 'clear stand' against banner,2020-06-23T19:41:40Z
71,"Idris Elba, Viola Davis and over 300 stars call on Hollywood to divest from police",2020-06-23T19:35:04Z
72,"Seattle will move to dismantle 'Chaz' occupied protest zone, mayor says",2020-06-23T19:32:44Z
73,Leicester City 0-0 Brighton: Premier League – as it happened,2020-06-23T19:27:47Z
74,"Reopening of pubs, restaurants and hairdressers not risk-free, say top advisers",2020-06-23T19:23:15Z
75,Leicester reprieved by Neal Maupay penalty miss but stall against Brighton,2020-06-23T19:20:53Z
76,Operators of gyms and pools query England's new lockdown rules,2020-06-23T19:19:21Z
77,"Trust me, I'm Mr Fun: Boris Johnson loosens England's lockdown | John Crace",2020-06-23T19:13:13Z
78,Timber from unsustainable logging allegedly being sold in EU as ethical,2020-06-23T19:00:00Z
79,"Eight out of 10 English councils at risk of bankruptcy, says study",2020-06-23T19:00:00Z
80,UK coronavirus: Chris Whitty warns of second spike if people ignore new rules in final daily briefing – as it happened,2020-06-23T18:47:10Z
81,Club cricket optimistic despite Boris Johnson saying ball can carry Covid-19,2020-06-23T18:39:55Z
82,The Guardian view lifting lockdown: setting a dangerous pace | Editorial,2020-06-23T18:37:07Z
83,"The Guardian view on China, Trump and the rest: might, right and trade bait | Editorial",2020-06-23T18:34:27Z
84,"Five children have died of coronavirus in UK, study reveals",2020-06-23T18:32:46Z
